지점,지점명,일시,강수량(mm)
108,서울,2022-01-02 06:00,0
108,서울,2022-01-02 09:00,.3
108,서울,2022-01-03 21:00,0
108,서울,2022-01-04 00:00,0
108,서울,2022-01-04 03:00,0
108,서울,2022-01-08 15:00,0
108,서울,2022-01-10 21:00,0
108,서울,2022-01-11 00:00,.9
108,서울,2022-01-11 03:00,.2
108,서울,2022-01-15 21:00,0
108,서울,2022-01-16 00:00,0
108,서울,2022-01-16 03:00,0
108,서울,2022-01-17 15:00,0
108,서울,2022-01-17 18:00,.5
108,서울,2022-01-17 21:00,0
108,서울,2022-01-19 09:00,0
108,서울,2022-01-19 12:00,1.1
108,서울,2022-01-19 15:00,.6
108,서울,2022-01-19 18:00,0
108,서울,2022-01-25 03:00,0
108,서울,2022-01-25 06:00,.3
108,서울,2022-01-25 09:00,.2
108,서울,2022-01-25 12:00,.2
108,서울,2022-01-25 15:00,0
108,서울,2022-01-25 18:00,0
108,서울,2022-01-31 21:00,0
108,서울,2022-02-01 00:00,1.2
108,서울,2022-02-01 03:00,0
108,서울,2022-02-01 06:00,1.7
108,서울,2022-02-01 09:00,0
108,서울,2022-02-01 12:00,0
108,서울,2022-02-04 18:00,0
108,서울,2022-02-14 18:00,1.7
108,서울,2022-02-15 03:00,0
108,서울,2022-02-15 06:00,0
108,서울,2022-02-15 09:00,0
108,서울,2022-02-15 12:00,0
108,서울,2022-02-15 15:00,0
108,서울,2022-02-15 18:00,0
108,서울,2022-02-16 09:00,0
108,서울,2022-02-19 18:00,.1
108,서울,2022-02-19 21:00,0
108,서울,2022-02-21 12:00,0
108,서울,2022-02-21 15:00,.1
108,서울,2022-02-26 15:00,0
108,서울,2022-02-26 18:00,0
108,서울,2022-02-26 21:00,1.1
108,서울,2022-03-01 03:00,0
108,서울,2022-03-01 06:00,1.7
108,서울,2022-03-01 09:00,.6
108,서울,2022-03-12 21:00,.2
108,서울,2022-03-13 00:00,2.4
108,서울,2022-03-13 03:00,32.2
108,서울,2022-03-13 06:00,8.8
108,서울,2022-03-13 09:00,.8
108,서울,2022-03-13 12:00,.2
108,서울,2022-03-13 15:00,.1
108,서울,2022-03-14 15:00,7.9
108,서울,2022-03-14 18:00,.8
108,서울,2022-03-17 21:00,1.2
108,서울,2022-03-18 00:00,0
108,서울,2022-03-18 03:00,0
108,서울,2022-03-18 06:00,0
108,서울,2022-03-18 15:00,0
108,서울,2022-03-19 03:00,.2
108,서울,2022-03-19 06:00,5.3
108,서울,2022-03-19 09:00,4.5
108,서울,2022-03-19 12:00,4.6
108,서울,2022-03-19 15:00,0
108,서울,2022-03-20 03:00,0
108,서울,2022-03-20 06:00,0
108,서울,2022-03-20 12:00,0
108,서울,2022-03-25 21:00,2.6
108,서울,2022-03-26 00:00,8.3
108,서울,2022-03-26 03:00,6.7
108,서울,2022-03-26 06:00,9.9
108,서울,2022-03-26 09:00,2
108,서울,2022-03-26 12:00,1.2
108,서울,2022-03-26 15:00,0
108,서울,2022-03-30 15:00,.4
108,서울,2022-03-30 18:00,0
108,서울,2022-04-09 08:00,.5
108,서울,2022-04-09 09:00,0
108,서울,2022-04-12 04:00,0
108,서울,2022-04-12 05:00,0
108,서울,2022-04-12 21:00,0
108,서울,2022-04-12 22:00,.4
108,서울,2022-04-12 23:00,.1
108,서울,2022-04-13 00:00,0
108,서울,2022-04-13 02:00,.3
108,서울,2022-04-13 03:00,.5
108,서울,2022-04-13 04:00,.1
108,서울,2022-04-13 05:00,.1
108,서울,2022-04-13 06:00,.1
108,서울,2022-04-13 07:00,.2
108,서울,2022-04-24 05:00,0
108,서울,2022-04-24 06:00,.1
108,서울,2022-04-24 07:00,.1
108,서울,2022-04-24 08:00,.1
108,서울,2022-04-24 09:00,0
108,서울,2022-04-24 10:00,0
108,서울,2022-04-25 00:00,0
108,서울,2022-04-25 01:00,.1
108,서울,2022-04-25 02:00,.2
108,서울,2022-04-25 03:00,.1
108,서울,2022-04-25 04:00,.2
108,서울,2022-04-25 05:00,.1
108,서울,2022-04-25 06:00,.1
108,서울,2022-04-25 07:00,.2
108,서울,2022-04-25 08:00,.1
108,서울,2022-04-25 09:00,0
108,서울,2022-04-25 22:00,0
108,서울,2022-04-25 23:00,0
108,서울,2022-04-26 00:00,.2
108,서울,2022-04-26 01:00,0
108,서울,2022-04-26 02:00,.1
108,서울,2022-04-26 03:00,.4
