지점,지점명,일시,강수량(mm)
108,서울,2021-01-05 00:00,0
108,서울,2021-01-05 03:00,0
108,서울,2021-01-05 06:00,0
108,서울,2021-01-05 09:00,0
108,서울,2021-01-06 21:00,2.2
108,서울,2021-01-07 00:00,.1
108,서울,2021-01-12 15:00,.1
108,서울,2021-01-12 18:00,2.3
108,서울,2021-01-12 21:00,.2
108,서울,2021-01-13 00:00,0
108,서울,2021-01-13 03:00,0
108,서울,2021-01-15 15:00,.2
108,서울,2021-01-17 18:00,0
108,서울,2021-01-17 21:00,0
108,서울,2021-01-18 00:00,0
108,서울,2021-01-18 03:00,0
108,서울,2021-01-18 06:00,0
108,서울,2021-01-18 12:00,.3
108,서울,2021-01-18 15:00,0
108,서울,2021-01-21 15:00,.6
108,서울,2021-01-21 18:00,4
108,서울,2021-01-21 21:00,3.7
108,서울,2021-01-22 00:00,.9
108,서울,2021-01-22 03:00,0
108,서울,2021-01-22 06:00,.1
108,서울,2021-01-26 09:00,0
108,서울,2021-01-26 12:00,1.3
108,서울,2021-01-26 15:00,0
108,서울,2021-01-26 18:00,.4
108,서울,2021-01-28 12:00,2
108,서울,2021-01-30 06:00,0
108,서울,2021-01-30 09:00,.2
108,서울,2021-01-30 12:00,.3
108,서울,2021-02-01 03:00,.7
108,서울,2021-02-02 21:00,0
108,서울,2021-02-03 00:00,0
108,서울,2021-02-03 18:00,0
108,서울,2021-02-03 21:00,0
108,서울,2021-02-04 00:00,3.4
108,서울,2021-02-04 03:00,.1
108,서울,2021-02-14 06:00,0
108,서울,2021-02-15 03:00,0
108,서울,2021-02-15 06:00,1.2
108,서울,2021-02-15 09:00,.2
108,서울,2021-02-16 09:00,0
108,서울,2021-02-16 12:00,.8
108,서울,2021-02-16 15:00,.7
108,서울,2021-02-17 21:00,0
108,서울,2021-03-01 03:00,0
108,서울,2021-03-01 06:00,4
108,서울,2021-03-01 09:00,12.3
108,서울,2021-03-01 12:00,18.7
108,서울,2021-03-01 15:00,15.8
108,서울,2021-03-01 18:00,10.1
108,서울,2021-03-01 21:00,4.3
108,서울,2021-03-02 00:00,2.3
108,서울,2021-03-02 03:00,.1
108,서울,2021-03-12 09:00,0
108,서울,2021-03-12 15:00,0
108,서울,2021-03-12 18:00,0
108,서울,2021-03-16 00:00,1.7
108,서울,2021-03-16 03:00,1.3
108,서울,2021-03-20 09:00,0
108,서울,2021-03-20 12:00,3.7
108,서울,2021-03-20 15:00,1.2
108,서울,2021-03-20 21:00,.2
108,서울,2021-03-21 00:00,0
108,서울,2021-03-21 15:00,.3
108,서울,2021-03-27 12:00,0
108,서울,2021-03-27 15:00,4
108,서울,2021-03-27 18:00,9.8
108,서울,2021-03-27 21:00,5.8
108,서울,2021-03-28 00:00,5.9
108,서울,2021-03-28 03:00,3.6
108,서울,2021-03-28 06:00,1.3
108,서울,2021-03-28 09:00,2.8
108,서울,2021-03-28 12:00,.5
108,서울,2021-03-28 15:00,0
108,서울,2021-03-28 21:00,0
108,서울,2021-03-29 00:00,1
108,서울,2021-03-29 03:00,.2
108,서울,2021-04-02 19:00,0
108,서울,2021-04-02 20:00,0
108,서울,2021-04-03 08:00,0
108,서울,2021-04-03 09:00,0
108,서울,2021-04-03 10:00,.7
108,서울,2021-04-03 11:00,4.1
108,서울,2021-04-03 12:00,10.3
108,서울,2021-04-03 13:00,8
108,서울,2021-04-03 14:00,5.5
108,서울,2021-04-03 15:00,4.7
108,서울,2021-04-03 16:00,4.5
108,서울,2021-04-03 17:00,3
108,서울,2021-04-03 18:00,4
108,서울,2021-04-03 19:00,4.4
108,서울,2021-04-03 20:00,1.1
108,서울,2021-04-03 21:00,0
108,서울,2021-04-03 22:00,5.3
108,서울,2021-04-03 23:00,.6
108,서울,2021-04-04 00:00,0
108,서울,2021-04-04 01:00,.2
108,서울,2021-04-04 02:00,0
108,서울,2021-04-04 03:00,0
108,서울,2021-04-04 04:00,0
108,서울,2021-04-04 05:00,.3
108,서울,2021-04-04 06:00,.1
108,서울,2021-04-12 10:00,0
108,서울,2021-04-12 11:00,0
108,서울,2021-04-12 12:00,0
108,서울,2021-04-12 13:00,0
108,서울,2021-04-12 14:00,.3
108,서울,2021-04-12 15:00,1.3
108,서울,2021-04-12 16:00,1.8
108,서울,2021-04-12 17:00,2
108,서울,2021-04-12 18:00,1.5
108,서울,2021-04-12 19:00,4.1
108,서울,2021-04-12 20:00,4.5
108,서울,2021-04-12 21:00,1.6
108,서울,2021-04-12 22:00,1.2
108,서울,2021-04-12 23:00,.7
108,서울,2021-04-13 00:00,3
108,서울,2021-04-13 01:00,2.9
108,서울,2021-04-13 02:00,1.8
108,서울,2021-04-13 03:00,1.8
108,서울,2021-04-13 04:00,1
108,서울,2021-04-13 05:00,.5
108,서울,2021-04-13 06:00,0
108,서울,2021-04-13 07:00,0
108,서울,2021-04-16 06:00,0
108,서울,2021-04-16 11:00,0
108,서울,2021-04-16 12:00,.7
108,서울,2021-04-16 13:00,0
108,서울,2021-04-16 14:00,0
108,서울,2021-04-17 12:00,0
108,서울,2021-04-17 13:00,0
108,서울,2021-04-17 14:00,0
108,서울,2021-04-17 17:00,0
108,서울,2021-04-23 04:00,0
108,서울,2021-04-23 05:00,0
108,서울,2021-04-23 06:00,0
108,서울,2021-04-23 07:00,0
108,서울,2021-04-23 08:00,0
108,서울,2021-04-23 13:00,0
108,서울,2021-04-23 14:00,0
108,서울,2021-04-24 15:00,0
108,서울,2021-04-27 08:00,0
108,서울,2021-04-27 18:00,0
108,서울,2021-04-27 19:00,0
108,서울,2021-04-27 21:00,0
108,서울,2021-04-27 22:00,0
108,서울,2021-04-27 23:00,0
108,서울,2021-04-28 00:00,1.7
108,서울,2021-04-28 01:00,4.7
108,서울,2021-04-28 02:00,0
108,서울,2021-04-29 10:00,0
108,서울,2021-04-29 11:00,0
108,서울,2021-04-29 12:00,0
108,서울,2021-04-29 13:00,0
108,서울,2021-04-29 23:00,.5
108,서울,2021-04-30 00:00,3.4
108,서울,2021-04-30 01:00,2.5
108,서울,2021-04-30 02:00,3.6
108,서울,2021-04-30 03:00,7.6
108,서울,2021-04-30 04:00,8.3
108,서울,2021-04-30 05:00,3.5
108,서울,2021-04-30 06:00,.5
108,서울,2021-04-30 07:00,.3
108,서울,2021-04-30 08:00,0
108,서울,2021-04-30 09:00,0
108,서울,2021-04-30 10:00,0
108,서울,2021-04-30 16:00,0
108,서울,2021-05-01 05:00,0
108,서울,2021-05-01 06:00,.2
108,서울,2021-05-01 07:00,0
108,서울,2021-05-01 08:00,.1
108,서울,2021-05-01 09:00,0
108,서울,2021-05-01 10:00,0
108,서울,2021-05-01 11:00,0
108,서울,2021-05-01 14:00,1.4
108,서울,2021-05-01 15:00,4.5
108,서울,2021-05-01 16:00,.8
108,서울,2021-05-01 17:00,.3
108,서울,2021-05-01 18:00,0
108,서울,2021-05-01 19:00,0
108,서울,2021-05-01 22:00,.2
108,서울,2021-05-01 23:00,.2
108,서울,2021-05-02 00:00,.3
108,서울,2021-05-02 01:00,.7
108,서울,2021-05-02 02:00,1
108,서울,2021-05-02 03:00,0
108,서울,2021-05-04 07:00,0
108,서울,2021-05-04 08:00,.2
108,서울,2021-05-04 09:00,0
108,서울,2021-05-04 10:00,1.3
108,서울,2021-05-04 11:00,0
108,서울,2021-05-04 12:00,0
108,서울,2021-05-04 13:00,0
108,서울,2021-05-04 14:00,0
108,서울,2021-05-04 15:00,3.1
108,서울,2021-05-04 16:00,2.7
108,서울,2021-05-04 17:00,.6
108,서울,2021-05-04 18:00,.1
108,서울,2021-05-04 19:00,.3
108,서울,2021-05-04 20:00,1.5
108,서울,2021-05-04 21:00,3.1
108,서울,2021-05-04 22:00,3.2
108,서울,2021-05-04 23:00,2.5
108,서울,2021-05-05 00:00,1
108,서울,2021-05-05 01:00,.1
108,서울,2021-05-07 10:00,8.5
108,서울,2021-05-07 11:00,.3
108,서울,2021-05-10 06:00,0
108,서울,2021-05-10 07:00,0
108,서울,2021-05-10 08:00,0
108,서울,2021-05-10 11:00,0
108,서울,2021-05-10 12:00,0
108,서울,2021-05-15 03:00,0
108,서울,2021-05-15 04:00,0
108,서울,2021-05-15 05:00,0
108,서울,2021-05-15 06:00,0
108,서울,2021-05-15 13:00,0
108,서울,2021-05-15 14:00,5.7
108,서울,2021-05-15 15:00,.4
108,서울,2021-05-15 16:00,2.2
108,서울,2021-05-15 17:00,.7
108,서울,2021-05-15 18:00,1
108,서울,2021-05-15 19:00,.3
